"","Edfemale","Eduexp","Labfem","Lifeexp","GNIperc","MMRat","Adbirth","Repparl"
"Norway",97.4,17.5,61.2,81.6,64992,4,7.8,39.6
"Australia",94.3,20.2,58.8,82.4,42261,6,12.1,30.5
"Switzerland",95,15.8,61.8,83,56431,6,1.9,28.5
"Denmark",95.5,18.7,58.7,80.2,44025,5,5.1,38
"Netherlands",87.7,17.9,58.5,81.6,45435,6,6.2,36.9
"Germany",96.3,16.5,53.6,80.9,43919,7,3.8,36.9
"Ireland",80.5,18.6,53.1,80.9,39568,9,8.2,19.9
"United States",95.1,16.5,56.3,79.1,52947,28,31,19.4
"Canada",100,15.9,61.6,82,42155,11,14.5,28.2
"New Zealand",95,19.2,62,81.8,32689,8,25.3,31.4
"Singapore",74.1,15.4,58.8,83,76628,6,6,25.3
"Sweden",86.5,15.8,60.3,82.2,45636,4,6.5,43.6
"United Kingdom",99.8,16.2,55.7,80.7,39267,8,25.8,23.5
"Iceland",91,19,70.5,82.6,35182,4,11.5,41.3
"Korea (Republic of)",77,16.9,50.1,81.9,33890,27,2.2,16.3
"Israel",84.4,16,57.9,82.4,30676,2,7.8,22.5
"Luxembourg",100,13.9,50.7,81.7,58711,11,8.3,28.3
"Japan",87,15.3,48.8,83.5,36927,6,5.4,11.6
"Belgium",77.5,16.3,47.5,80.8,41187,6,6.7,42.4
"France",78,16,50.7,82.2,38056,12,5.7,25.7
"Austria",100,15.7,54.6,81.4,43869,4,4.1,30.3
"Finland",100,17.1,55.7,80.8,38695,4,9.2,42.5
"Slovenia",95.8,16.8,52.3,80.4,27852,7,0.6,27.7
"Spain",66.8,17.3,52.5,82.6,32045,4,10.6,38
"Italy",71.2,16,39.6,83.1,33030,4,4,30.1
"Czech Republic",99.9,16.4,51.1,78.6,26660,5,4.9,18.9
"Greece",59.5,17.6,44.2,80.9,24524,5,11.9,21
"Estonia",100,16.5,56.2,76.8,25214,11,16.8,19.8
"Cyprus",76,14,56,80.2,28633,10,5.5,12.5
"Qatar",66.7,13.8,50.8,78.2,123124,6,9.5,0
"Slovakia",99.1,15.1,51.1,76.3,25845,7,15.9,18.7
"Poland",79.4,15.5,48.9,77.4,23177,3,12.2,22.1
"Lithuania",89.1,16.4,55.8,73.3,24500,11,10.6,23.4
"Malta",68.6,14.4,37.9,80.6,27930,9,18.2,13
"Saudi Arabia",60.5,16.3,20.2,74.3,52821,16,10.2,19.9
"Argentina",56.3,17.9,47.5,76.3,22050,69,54.4,36.8
"United Arab Emirates",73.1,13.3,46.5,77,60868,8,27.6,17.5
"Chile",73.3,15.2,49.2,81.7,21290,22,55.3,15.8
"Portugal",47.7,16.3,54.9,80.9,25757,8,12.6,31.3
"Hungary",97.9,15.4,44.8,75.2,22916,14,12.1,10.1
